start_station_name,start_lat,start_lng,count_s21
Broadway & W 51 St,40.762288,-73.983362,149
Broadway & W 51 St,40.762288,-73.983361,7755
Broadway & W 60 St,40.769155,-73.981918,10771
Broadway & Whipple St,40.701665,-73.94373,1312
Broadway & Whipple St,40.701666,-73.94373,6
Bronx Shore Comfort Station,40.80046,-73.92404,658
Brook Ave & E 138 St,40.807408,-73.91924,455
Brook Ave & E 141 St,40.809619,-73.917875,146
Brook Ave & E 148 St,40.814383,-73.915368,284
Brook Ave & E 157 St,40.820713,-73.911759,283
Brooklyn Bridge Park - Pier 2,40.698458,-73.997178,2767
Bruckner Blvd & Bryant Ave,40.821952,-73.888546,364
Bulova Ave & Brooklyn Queens Expressway W,40.762507,-73.902534,136
Bus Slip & State St,40.701907,-74.013942,2527
Bushwick Ave & Dekalb Ave,40.69502,-73.92825,665
Bushwick Ave & Forrest St,40.70076,-73.93641,662
Bushwick Ave & Furman Ave,40.68281,-73.90623,264
Bushwick Ave & Harman St,40.69356,-73.92524,923
Bushwick Ave & Linden St,40.69146,-73.92146,617
Bushwick Ave & McKibbin St,40.705517,-73.93936,624
Bushwick Ave & Powers St,40.712476,-73.941,1402
Bushwick Ave & Powers St,40.712477,-73.941,11
Bushwick Ave & Stagg St,40.709897,-73.94008,540
Butler St & Court St,40.684989,-73.994403,951
Cabrini Blvd & W 177 St,40.848282,-73.941343,440
Cadman Plaza E & Red Cross Pl,40.699917,-73.989717,1868
Cadman Plaza E & Red Cross Pl,40.699918,-73.989718,105
Cadman Plaza E & Tillary St,40.695976,-73.990148,1552
Cadman Plaza E & Tillary St,40.695977,-73.990149,85
Calyer St & Jewel St,40.72984,-73.94839,876
